"Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.177"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE","0.515"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE","1.991"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.174"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NALED = 34401)","INSECTICIDE","0.904"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL = 25006)","INSECTICIDE","0.095"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL","INSECTICIDE","5.151"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NOVALURON = 124002)","INSECTICIDE","0.059"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","0.478"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRETHRINS = 69001)","INSECTICIDE","0.044"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIPROXYFEN = 129032)","INSECTICIDE","0.067"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.068"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINOSAD = 110003)","INSECTICIDE","0.093"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPIROMESIFEN = 24875)","INSECTICIDE","0.243"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFOXAFLOR = 5210)","INSECTICIDE","0.069"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","0.062"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLOROPICRIN = 81501)","OTHER","244.066"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DICHLOROPROPENE = 29001)","OTHER","83.557"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTRIAFOL = 128940)","OTHER","0.112"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(IRON PHOSPHATE = 34903)","OTHER","0.161"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(METAM-POTASSIUM = 39002)","OTHER","214.011"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(METAM-SODIUM = 39003)","OTHER","228.063"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.191"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","6"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","8"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","5"
2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(SULFUR)","2"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.858"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","2.098"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.313"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.206"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","1.34"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","2.036"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE","0.045"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE","0.099"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE","0.141"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE","0.05"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.058"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NOVALURON = 124002)","INSECTICIDE","0.065"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.063"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","0.054"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","1"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","1"
2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","2"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.213"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE","0.358"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","1.878"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE","0.022"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.32"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","0.59"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.214"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE","0.119"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.17"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","0.488"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.104"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.301"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.044"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.425"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.171"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE","0.628"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(QUINOLINE = 55459)","FUNGICIDE","0.096"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE","4.865"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","FUNGICIDE","0.038"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.636"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","2.078"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.114"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.241"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","HERBICIDE","0.096"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","HERBICIDE","0.353"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","HERBICIDE","1.364"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE","0.019"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","INSECTICIDE","0.297"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE","0.118"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZADIRACHTIN = 121701)","INSECTICIDE","0.032"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE","0.49"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE","0.098"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.071"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","INSECTICIDE","0.179"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPROPATHRIN = 127901)","INSECTICIDE","0.286"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPYROXIMATE = 129131)","INSECTICIDE","0.105"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLONICAMID = 128016)","INSECTICIDE","0.082"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUPYRADIFURONE = 122304)","INSECTICIDE","0.172"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.181"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE","0.5"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE","1.799"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.176"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NALED = 34401)","INSECTICIDE","0.891"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL","INSECTICIDE","6.34"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NOVALURON = 124002)","INSECTICIDE","0.073"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRETHRINS = 69001)","INSECTICIDE","0.054"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.069"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINOSAD = 110003)","INSECTICIDE","0.091"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPIROMESIFEN = 24875)","INSECTICIDE","0.25"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","0.06"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLOROPICRIN = 81501)","OTHER","236.901"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DICHLOROPROPENE = 29001)","OTHER","83.195"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTRIAFOL = 128940)","OTHER","0.113"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.226"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","18"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","15"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","24"
2018,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(SULFUR)","9"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","1.858"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.33"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.221"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","1.632"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","1"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","(Z)"
2018,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","1"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.227"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BLAD = 30006)","FUNGICIDE","0.533"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE","0.352"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","1.659"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE","0.022"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.327"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","0.715"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.218"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE","0.124"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.177"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","0.471"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.115"
2016,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.297"
